Name,X,Y,Z
31 Epsilon Librae,9.53,60.94,81.06
31 Vulpeculae,-175.66,-36.75,57.88
32 c Piscium,-71.31,-95.34,-17.72
32 G. Capricorni,-97.63,-118.91,173.63
32 l Persei,-73.41,-28.97,-128.28
32 Lyncis,10.63,71.06,-97.34
32 Mu Serpentis,-11.75,101.31,135.50
33 Bootis,-84.75,164.53,18.00
33 G. Antlia,162.38,62.50,-23.81
33 G. Canis Majoris,75.94,-26.97,-54.75
33 Pi Cephei,-190.75,53.38,-95.63
33 Sextantis,76.59,88.78,-25.91
33 Theta Cassiopeiae,-106.94,-17.03,-78.22
34 Lyncis,-13.16,111.88,-140.78
34 Omicron Cephei,-183.16,24.66,-84.25
34 Pegasi,-85.38,-85.19,30.66
35 Ceti,-56.63,-135.66,-55.97
35 Draconis,-85.13,51.75,-28.38
35 Leonis,29.44,83.78,-49.50
35 Leonis Minoris,9.25,136.31,-76.19
36 Andromedae,-79.16,-77.91,-54.94
36 Doradus,73.78,-43.31,3.03
36 Draconis,-65.69,35.38,-4.59
36 Ophiuchi,0.44,2.09,19.22
36 Persei,-58.25,-15.97,-101.97
36 Ursae Majoris,-11.13,32.94,-23.00
37 Geminorum,10.25,12.31,-53.91
37 Librae,5.81,54.38,76.88
37 Lyncis,-14.66,62.69,-62.22
37 Pegasi,-115.59,-117.03,39.56
37 Ursae Majoris,-24.84,68.22,-47.03
37 Xi Bootis,-4.22,19.09,9.81
38 Arietis,-27.56,-78.13,-84.78
38 Leonis Minoris,5.13,149.13,-82.88
38 Lyncis,10.97,88.38,-87.47
38 Virginis,44.97,91.53,31.53
39 Aquarii,-60.50,-107.06,60.78
39 Arietis,-72.19,-76.84,-135.38
39 b Draconis,-164.94,81.75,5.97
39 Herculis,-81.06,89.31,76.22
39 Leonis,21.97,61.31,-35.88
39 Serpentis,-16.47,39.88,36.59
39 Tauri,-7.31,-20.28,-50.91
4 A1 Virginis,77.88,176.31,-9.41
4 Aquarii,-116.66,-98.03,126.47
4 Beta Trianguli,-72.34,-53.19,-89.66
4 Camelopardalis,-81.16,24.03,-149.91
4 Cephei,-132.09,35.50,-27.88
4 Epsilon-1 Lyrae,-144.19,49.91,55.25
4 Eridani,41.50,-135.94,-63.19
4 Sextantis,87.25,96.84,-65.00
40 Ceti,-27.97,-87.59,-32.31
40 Draconis,-134.78,80.69,-53.94
40 Leonis,24.56,57.06,-31.56
40 Leonis Minoris,32.56,130.84,-61.63
41 Gamma Serpentis,-12.13,26.00,22.88
41 Lambda Hydrae,88.78,64.09,-25.91
41 Upsilon-4 Eridani,102.38,-126.00,-72.88
41 Virginis,40.81,191.84,31.38
42 Aquilae,-57.84,-23.53,84.25
42 Aurigae,-47.34,57.97,-219.75
42 Capricorni,-49.97,-75.97,59.03
44 b Ophiuchi,-3.00,8.06,82.69
44 chi Draconis,-22.56,12.38,-5.41
44 Eta Librae,15.91,73.53,128.81
44 G. Aquilae,-87.59,-6.06,85.47
44 Pi Serpentis,-76.47,129.34,97.31
44 Rho-1 Sagittarii,-42.81,-33.16,114.81
45 c Bootis,-19.47,54.63,26.50
45 d Ophiuchi,5.00,4.38,111.38
45 Tauri,12.44,-62.34,-102.53
45 Theta Ceti,-21.59,-106.31,-34.47
46 Theta Librae,15.75,76.81,149.09
47 Andromedae,-144.22,-86.00,-123.28
47 Arietis,-32.03,-58.44,-85.25
47 Cassiopeiae,-83.03,28.56,-63.19
47 Ceti,-14.13,-116.97,-32.53
47 Ursae Majoris,-1.44,41.19,-20.09
48 chi Bootis,-94.31,214.19,94.63
48 Tauri,-2.44,-60.50,-135.19
49 Arietis,-74.25,-96.53,-170.97
49 Ceti,-11.50,-186.38,-51.47
49 d Orionis,71.75,-47.00,-117.50
49 G. Antlia,98.97,29.16,0.34
49 Librae,7.81,47.09,95.72
49 Serpentis,-26.97,49.97,51.88
5 Andromedae,-105.72,-19.56,-31.44
5 Epsilon-2 Lyrae,-138.16,47.78,53.09
5 G. Apodis,71.13,-21.03,56.03
5 G. Capricorni,-6.97,-14.53,24.19
5 Gamma Equulei,-93.31,-50.28,52.75
5 Piscis Austrini,-56.38,-224.28,204.31
5 Puppis,71.63,11.50,-58.63
50 Omega Tauri,-7.72,-32.97,-88.13
50 Upsilon-1 Eridani,73.09,-83.63,-61.72
51 Aquilae,-43.44,-28.94,74.44
51 Arietis,-23.84,-30.78,-54.94
51 Eridani,26.88,-48.09,-78.63
51 Leonis Minoris,38.44,166.13,-60.41
52 Leonis Minoris,36.50,164.31,-58.84
52 Psi Ursae Majoris,-15.75,129.66,-61.84
53 Aquarii,-25.69,-54.28,27.13
53 chi Ceti,-6.69,-70.16,-27.50
53 Tauri,-22.59,-90.97,-253.25
53 Virginis,57.94,79.59,50.34
54 Cassiopeiae,-67.50,15.28,-55.28
54 Ceti,-50.06,-103.03,-75.28
54 G. Antlia,70.38,24.47,-1.09
54 Piscium,-23.47,-23.81,-13.56
55 Virginis,70.94,85.50,61.69
55 Xi Serpentis,-19.81,14.75,102.34
56 Cygni,-133.06,-0.22,12.47
57 Ursae Majoris,-10.13,199.34,-73.63
57 Virginis,69.53,84.31,61.66
57 Zeta Serpentis,-30.94,12.00,69.28
58 Andromedae,-114.38,-72.13,-135.53
58 Epsilon Herculis,-100.31,90.56,75.91
58 Eridani,20.78,-24.41,-29.16
58 Geminorum,35.75,50.13,-146.56
58 Ursae Majoris,-19.34,161.09,-63.44
59 Draconis,-76.44,38.22,-25.06
59 Eridani,64.72,-75.78,-92.66
59 Ursae Majoris,-19.41,140.97,-52.31
59 Virginis,10.94,54.09,15.25
6 Andromedae,-84.03,-24.19,-22.09
6 Ceti,-15.56,-59.13,1.41
6 Comae Berenices,50.28,192.16,-0.19
6 Lyncis,-65.97,64.38,-156.97
60 Aurigae,-7.00,67.78,-216.34
60 b Leonis,37.53,114.50,-39.28
60 Herculis,-63.69,63.94,98.09
60 Tau Draconis,-129.00,60.22,-34.13
60 Tauri,2.63,-58.38,-132.47
61 Cygni,-11.22,-1.19,1.41
61 Mu Orionis,50.22,-15.47,-145.78
61 Piscium,-117.03,-123.72,-75.00
61 Ursae Majoris,0.56,30.09,-8.69
61 Virginis,14.81,19.28,13.66
62 Gamma Ophiuchi,-47.13,26.25,87.50
62 Omicron-1 Cancri,66.50,85.91,-102.16
62 Ursae Majoris,7.59,129.47,-34.53
63 chi Leonis,45.91,80.38,-19.19
63 Eridani,76.53,-84.94,-133.84
63 G. Capricorni,-19.19,-44.81,52.53
63 Geminorum,31.94,34.09,-100.72
63 Omicron-2 Cancri,66.47,87.03,-103.13
64 Arietis,-57.09,-90.66,-178.34
64 Ceti,-37.06,-100.06,-79.13
64 G. Capricorni,-77.84,-104.03,123.00
64 Piscium,-44.84,-54.72,-29.13
65 Kappa Tauri,-12.91,-47.31,-145.94
66 Ceti,-17.44,-109.78,-66.47
66 Draconis,-164.72,46.31,-16.06
67 Tauri,-12.22,-45.63,-140.34
68 Draconis,-151.47,41.00,-15.97
68 Eridani,32.09,-34.13,-68.56
69 e Herculis,-128.31,97.00,70.06
69 G. Carinae,50.78,-14.28,3.16
69 Tau Ophiuchi,-58.00,18.31,156.00
69 Upsilon Tauri,-13.59,-45.97,-146.13
7 Alpha Lacertae,-99.84,-11.72,-20.66
7 Andromedae,-75.34,-14.28,-23.53
7 Canum Venaticorum,-46.13,132.94,-38.91
7 G. Aquilae,-116.91,2.53,141.19
7 Kappa Delphini,-76.78,-31.78,52.41
7 Pi-1 Orionis,18.41,-39.13,-108.00
7 Zeta-2 Lyrae,-136.91,45.66,58.00
70 Ophiuchi,-8.22,3.09,14.06
70 Pegasi,-122.38,-124.56,-10.03
70 Tauri,0.41,-57.47,-142.72
70 Virginis,5.94,56.25,15.47
71 Epsilon Piscium,-82.00,-148.13,-66.31
71 Omicron Geminorum,13.97,69.84,-150.31
72 G. Aquarii,-162.94,-134.88,117.84
72 Herculis,-32.88,24.69,22.22
72 Ophiuchi,-50.66,20.38,67.53
73 Rho Cygni,-123.19,-10.00,-2.47
73 Xi-2 Ceti,-44.47,-140.91,-124.38
74 G. Aquarii,-109.81,-89.50,77.50
75 Pegasi,-172.63,-152.97,-31.75
76 Sigma Ceti,7.72,-77.72,-38.53
77 Aquarii,-49.28,-117.91,41.50
78 Ursae Majoris,-35.03,72.53,-19.94
79 Ceti,-7.00,-104.34,-72.22
79 Herculis,-167.84,109.47,149.69
8 Alpha-1 Libra,19.47,45.63,56.13
8 Gamma Coronae Borealis,-60.53,114.19,68.03
8 Kappa Piscium,-87.28,-126.06,7.44
8 Lyncis,-68.53,65.09,-141.06
8 Piscis Austrini,-50.88,-139.94,119.03
8 Serpentis,-4.31,114.16,121.44
80 e Piscium,-48.09,-97.84,-42.97
80 Leonis,91.69,156.69,-17.50
80 Tauri,2.78,-54.25,-139.28
81 Leonis,45.94,132.63,-28.47
82 Eridani,10.41,-16.31,-3.75
82 Pegasi,-116.81,-138.53,-23.75
83 Cancri,54.22,86.81,-84.28
83 Tau Piscium,-111.28,-90.13,-89.47
84 Ceti,-5.56,-58.16,-44.94
85 Pegasi,-30.75,-22.41,-11.41
86 Aquarii,-50.66,-198.63,69.03
86 Mu Herculis,-19.50,11.53,14.88
87 Mu Ceti,-17.09,-57.50,-58.94
88 d Tauri,16.19,-60.06,-137.00
89 Centauri,126.84,57.97,55.03
89 Leonis,44.34,76.75,-5.03
9 Aurigae,-32.75,10.50,-78.56
9 Ceti,-18.94,-65.31,-3.28
9 G. Carinae,108.66,-48.66,-17.91
9 Iota Piscis Austrini,-30.13,-156.81,127.34
9 Omega Ophiuchi,9.31,49.94,160.78
9 Omicron Virginis,59.38,152.03,2.00
9 Puppis,42.47,6.59,-32.41
9 Ursae Minoris,-77.63,74.50,-27.91
90 G. Canis Majoris,71.00,-17.28,-42.34
91 Sigma-1 Tauri,5.88,-49.03,-138.53
93 Rho Piscium,-42.88,-55.66,-42.84
95 G. Aquarii,-138.91,-151.94,96.38
97 i Tauri,4.88,-44.16,-161.19
98 Aquarii,-43.94,-152.63,38.53
Aakuagsakh,-47.00,43.59,169.38
Aakuman,63.88,161.56,-22.88
Aakushu,73.94,-80.84,116.63
Aapelinja,17.09,139.84,-7.06
Aapep,80.97,18.94,-163.63
Aasgaa,97.31,44.16,57.94
Aasgananu,-38.81,-62.91,-73.88
Aasgay,81.28,9.22,27.41
AB Pictoris,133.88,-67.84,-7.06
Abaana,-16.28,-109.75,24.09
Abanda,83.31,-229.88,51.91
Abasina,84.66,-85.06,174.00
Abasses,-34.19,-102.38,81.00
Abassong,-14.50,-114.41,-127.53
Abast Samo,-44.25,-122.28,-24.44
Abazahua,109.78,-3.91,-103.75
Abazates,160.06,-32.91,-12.72
Abazi,-71.19,26.44,43.88
Abe,-30.13,-160.88,19.41
Abi,-32.34,-29.91,10.63
Abibitoa,-120.78,8.53,61.81
Abidii,30.16,-73.72,-131.41
Abidji,-147.28,55.00,69.53
Abikabiates,59.34,-151.44,-54.63
Abikudi,4.94,-140.63,117.38
Abikuolu,173.41,-139.63,63.44
Abora,18.44,-117.84,128.75
Abormotwa,109.19,77.00,-34.50
Aborovi,-123.72,-19.06,89.19
Abreda,117.16,-200.59,61.19
Abres,-64.25,76.06,-67.66
Abriama,-61.50,122.31,-95.50
Abrigi,190.88,-181.84,25.63
Abriguaymir,104.00,42.47,-93.69
Abrocmii,-13.44,-61.59,-67.03
Abrog,-124.16,-42.03,7.28
Abrogo,20.81,16.75,-13.31
Abroin,-94.53,110.09,-40.50
Abuk,60.34,-109.94,132.53
Abukunin,-69.31,-7.44,61.94
Abukunn,81.19,-142.25,119.47
Aburaces,42.63,-141.88,162.78
Aburokul,-117.41,99.75,-54.41
Aburu,-6.47,-34.59,89.59
Aburukan,71.00,-176.53,143.41
AC +26 37030,-29.69,65.22,35.69
AC +40 428-42,1.88,76.97,-51.88
AC +67 1894,-41.13,29.28,-61.81
Ac Yai,137.72,-59.09,40.63
Ac Yama,127.78,-32.19,-51.28
Ac Yaming,133.44,-200.38,131.88
Ac Yanto,83.09,35.94,98.16
Ac Yanyamam,-21.44,27.84,-127.88
Ac Yariu,83.72,-77.03,7.75
Ac Yax,2.34,83.63,138.22
Ac Yax Baru,103.72,-0.66,99.06
Acamar,73.38,-140.34,-30.78
Acan,-13.22,88.56,24.97
Acandizel,112.31,74.94,-6.84
Acane,101.38,88.97,76.69
Acani,189.91,-173.97,9.97
Acantha,-59.97,99.22,99.56
Acanthu,117.13,38.47,58.31
Acants,-98.97,-48.19,-90.22
Acatesano,-39.97,-55.84,97.31
Acawar,-62.59,-63.63,-159.69
Achali,50.34,27.44,112.28
Achan,85.63,-142.44,128.69
Achansa,53.19,24.25,-107.72
Achapsugs,75.91,-151.84,-54.72
Achar,-41.25,92.69,-91.56
Ache,-140.19,41.47,-54.56
Achehoongat,93.16,-133.00,102.66
Achelous,-76.94,3.53,19.97
Achenar,67.50,-119.47,24.84
Achian,-154.81,-3.28,30.44
Achini,136.44,-82.38,-34.75
Achlys,1.19,-26.22,-71.00
Achosi,2.25,-29.25,138.31
Achrende,50.91,-134.47,-67.50
Achreni,123.75,-68.09,47.31
Achuar,26.09,-231.44,5.94
Acihaut,-18.50,25.28,-4.00
Acionna,47.78,16.91,57.78
Ackwada,42.78,-65.31,-11.34
Ackycha,-29.03,39.81,-25.03
Acokwa,-52.59,-2.91,-92.31
Acokwang,80.69,-111.06,4.72
Acokwech,106.94,4.88,5.75
Acokwus,116.56,-1.81,-130.44
Acoman,126.03,-32.31,-53.97
Acomatshi,113.22,9.16,-130.59
Acuruncegi,-60.72,117.63,-123.47
Acurus,-142.47,10.41,102.66
AD Leonis,5.50,13.03,-7.47
Adach,-117.72,-85.13,82.44
Adachit,107.28,-163.84,44.31
Adad,-25.56,-56.00,10.16
Adan,116.56,-100.56,0.56
Addo,-10.13,-81.75,40.00
Addovices,-33.44,-40.66,-43.81
Addovichs,-19.47,-168.38,-18.34
Addovii,59.84,104.34,-81.09
Addovik,136.56,-60.88,5.44
Addovika,65.69,-181.16,127.47
Adeka,18.78,116.94,76.47
Adekalta,107.53,99.59,-51.59
Adenates,-51.44,-70.75,60.59
Adenets,-40.13,65.97,-35.56
Adenses,19.84,64.75,-59.69
Adensu,-94.84,-75.09,-94.06
Adeo,-81.63,31.41,27.19
Adepti,-74.09,36.56,-40.19
Adils,-61.19,-28.53,-80.44
Adit,174.06,-100.28,126.06
Aditjana,-73.44,-134.81,75.16
Aditjargl,-0.53,66.75,86.38
Aditjari,85.91,-103.13,155.22
Adityan,-80.88,-68.97,23.03
Adiva,102.09,2.88,98.41
Adivarakhe,144.16,-35.97,-77.00
Adivas,-51.34,80.00,-67.47
Adiyan,101.53,-131.53,145.91
Adju,-14.38,-24.25,144.25
Adjukru,-20.09,7.88,-96.34
Adlirvantan,66.66,88.91,136.72
Adlivun,-176.94,-95.31,21.50
Adlivuni,88.69,-21.19,130.22
Adnoannoda,-31.75,-111.53,-92.69
Adnoartina,101.84,-141.41,48.13
Adnyan,140.34,21.81,-15.84
Adnyayar,103.53,65.06,-117.31
Adria,16.03,-64.97,-99.50
Adriatikuru,-104.19,35.53,42.16
Adro,-130.44,-22.66,11.97
ADS 10035,19.84,24.41,103.22
ADS 10329,-61.53,45.78,1.50
ADS 16553,-60.41,-53.97,-0.06
ADS 8444,70.13,74.41,25.84
Aduni,122.19,65.25,108.63
Aduninuan,43.81,-9.63,-101.38
AE Fornacis,31.38,-87.72,-42.97
Aebocori,118.00,-77.72,80.06
Aebocorio,48.16,-228.25,72.50
Aecerbot,66.38,-10.78,-23.25
Aeduci,-138.41,81.28,-12.09
Aeducini,197.78,-148.31,37.81
Aedui,-113.91,-4.44,103.00
Aeduwona,108.31,-165.84,79.50
Aegaeon,46.91,23.63,-59.75
Aegida,-14.09,-203.34,43.00
Aegidal,127.66,54.09,-81.66
Aegilakan,-3.53,74.25,-81.75
Aegilips,22.97,28.94,28.41
Aegir,-135.47,-8.69,128.75
Aeneas,54.41,35.91,24.94
Aeng Dimo,-45.78,-12.09,-21.59
Aeolus,-43.28,37.28,-31.53
Aequeelg,-80.13,25.44,17.50
Aequiatalaa,133.44,-191.47,69.00
Aerial,100.75,-102.63,8.41
Aeternitas,-1.50,-14.66,56.88
Aetius,-64.69,-58.72,-26.03
AF Leporis,45.91,-35.19,-66.59
Afli,35.31,-78.03,38.63
AG+11 1351,44.81,108.84,-11.34
AG+21 1754,-53.81,29.03,50.72
Aganippe,-11.56,43.81,11.63
Agarahma,-40.13,73.47,-154.16
Agarda,75.22,40.31,-30.09
Agarla,63.28,-115.38,83.50
Agartha,70.72,-123.66,41.31
Agasa,26.25,51.72,-82.13
Agaso,-100.81,-58.22,115.09
Agasta,143.03,-105.56,116.72
Agastani,67.38,32.31,32.22
Agastariya,34.63,-104.84,16.16
Agastii,-57.06,-120.53,-68.59
Agastja,-73.84,128.53,-7.97
Agat Yu,101.97,19.09,-17.75
Agatal,83.84,122.66,14.47
Agatavun,58.38,33.13,62.16
Agathiar,-17.84,59.41,66.88
Agenimara,-85.19,-28.25,165.16
Ageno,-50.94,-48.09,-99.88
AGKR 1017,-53.50,-85.38,-47.94
AGKR 199,-87.00,35.50,-53.88
Aguan,47.59,66.69,116.97
Aguana,82.88,135.09,81.91
Aguane,-63.84,67.22,88.28
Aguano,73.41,-103.00,115.28
Aguaroing,57.53,-39.19,141.63
Agulmanji,153.38,-63.19,44.09
Agulmasci,-17.84,-30.38,118.06
Agulu,93.31,-242.47,60.00
Agwa,6.94,20.31,-156.91
Agwe,-48.56,47.53,-49.13
Aha Narfi,-80.50,-58.66,96.13
Aha Wa,90.38,-56.63,-17.56
Ahan,-60.31,79.00,140.63
Ahanla,60.91,-215.25,83.03
Ahanyamwezi,-95.78,-42.34,99.50
Ahau Kichua,-53.25,130.97,23.72
Ahaudheim,-29.25,123.97,-124.06
Ahaudhr,137.94,-71.03,-48.66
Ahauduwonai,93.19,-84.53,-74.97
Ahaurawai,-106.97,-20.16,40.56
Ahaut,51.22,-246.13,-42.16
Ahauts,-90.66,-142.94,83.31
Ahayan,6.31,-44.44,157.84
Ahaykenambo,3.47,-99.75,47.78
Ahaykenkan,-70.31,-176.28,-78.84
Ahayus,-36.63,107.59,109.50
Ahemaker,18.81,-70.03,143.72
Ahemakino,123.25,-3.22,-97.44
Ahemez,-103.34,-84.69,-75.88
Ahmetes,116.56,-96.72,89.63
Ahmeti,167.09,-104.78,5.22
Ahol,164.38,-76.13,-34.13
Aholetondal,1.94,-123.56,93.00
Aholhyniai,53.91,-128.31,-56.56
Ahpuchan,40.72,-159.25,147.00
Ahti,4.06,-79.09,-7.72
Aiaba,97.31,51.63,103.13
Aiaban,-21.56,-201.34,79.00
Aiabara,-13.09,-32.13,85.44
Aiabiko,-82.06,1.63,-14.44
Aiga,66.63,-147.56,102.78
Aigaha,73.34,-99.75,-97.25
Aigalie,166.44,-76.25,-1.69
Aigones,-123.16,29.59,101.50
Aika,12.47,-210.94,94.53
Ailure,-92.63,30.75,157.47
Ailuremowo,89.06,14.81,-141.16
Ailurians,96.72,24.91,47.72
Ailurii,56.38,-125.28,157.06
Ailurui,95.34,-3.50,23.56
Aimo Jung,-9.91,81.59,-63.81
Ainuan,-142.56,63.50,5.59
Ainun,125.84,49.38,2.03
Ainunnicori,-24.50,-52.63,-77.03
Ainuro,-62.31,28.38,117.56
Airman Di,-72.81,-15.66,-115.66
Airmang,-22.81,107.69,132.41
Airs,-115.28,7.53,71.31
Airseklis,194.34,-116.16,7.31
Airsetanoa,103.09,-38.81,32.19
Aisoci,124.19,-162.88,103.59
Aisociti,82.72,38.53,111.66
Aisoyiman,-31.72,65.09,93.16
Aitva,19.06,-214.25,11.00
Aitvanec,42.16,115.31,10.94
Aitvani,161.25,-56.25,-33.22
Aitvaniez,100.09,-100.00,-62.38
Aitvara,-31.06,-18.53,112.28
Aitvaredd,-55.47,-102.72,-62.78
Aitvas,18.47,-202.22,-62.09
Ajabog,157.38,43.97,-1.13
Ajabon,-28.44,6.47,159.91
Ajani,129.44,-98.13,15.63
Aje,-178.69,-9.19,-32.06
Aje Shaluga,173.22,-72.03,10.56
Aje Shen,-104.84,12.78,136.34
Ajoku,56.47,-250.06,-63.84
Aka,-1.69,168.75,57.47
Akanago,3.28,-36.13,86.94
Akandi,62.03,10.75,38.88
Akandinigua,85.66,-18.16,-4.56
Akarn,28.47,37.63,80.28
Akba Achih,119.00,-98.28,-56.41
Akba Atacab,-119.47,42.75,80.34
Akba Ataci,-36.13,-73.41,49.22
Akbakara,-88.28,53.72,-71.56
Akbaksas,-115.06,78.59,40.59
Akbakshu,141.97,-193.63,120.03
